date,stock_id,sharpe_ratio
4/1/2020,2207.TW,0.100408675
5/16/2020,2207.TW,0.159828686
8/15/2020,2207.TW,0.037894256
11/15/2020,2207.TW,-0.101175711
4/1/2021,2207.TW,-0.148472017
5/16/2021,2207.TW,0.128287615
8/15/2021,2207.TW,0.100426756
11/15/2021,2207.TW,-0.048508722
4/1/2022,2207.TW,-0.123310532
5/16/2022,2207.TW,0.122911693
8/15/2022,2207.TW,0.020245606
11/15/2022,2207.TW,0.032384065
4/1/2023,2207.TW,0.291486434
5/16/2023,2207.TW,-0.007011166
8/15/2023,2207.TW,-0.081995634
11/15/2023,2207.TW,-0.038134854
4/1/2024,2207.TW,-0.155566403
5/16/2024,2207.TW,
5/16/2013,1216.TW,0.000465744
8/15/2013,1216.TW,0.028375697
11/15/2013,1216.TW,-0.012155828
4/1/2014,1216.TW,-0.004085173
5/16/2014,1216.TW,0.15885513
8/15/2014,1216.TW,-0.007015314
11/15/2014,1216.TW,0.066133212
4/1/2015,1216.TW,0.131787493
5/16/2015,1216.TW,0.105013539
8/15/2015,1216.TW,-0.055116017
11/15/2015,1216.TW,0.04167108
4/1/2016,1216.TW,0.243951703
5/16/2016,1216.TW,0.137194221
8/15/2016,1216.TW,-0.132237878
11/15/2016,1216.TW,0.0406579
4/1/2017,1216.TW,-0.072379528
5/16/2017,1216.TW,0.058726557
8/15/2017,1216.TW,0.133003239
11/15/2017,1216.TW,0.060898558
4/1/2018,1216.TW,0.091312394
5/16/2018,1216.TW,0.126716308
8/15/2018,1216.TW,0.003160384
11/15/2018,1216.TW,0.021248728
4/1/2019,1216.TW,0.119471131
5/16/2019,1216.TW,0.072962979
8/15/2019,1216.TW,-0.077264417
11/15/2019,1216.TW,-0.069464826
4/1/2020,1216.TW,0.1287054
5/16/2020,1216.TW,0.026952411
8/15/2020,1216.TW,-0.010275005
11/15/2020,1216.TW,0.076791563
4/1/2021,1216.TW,0.078593232
5/16/2021,1216.TW,-0.054878638
8/15/2021,1216.TW,0.000121804
11/15/2021,1216.TW,-0.044582161
4/1/2022,1216.TW,-0.058450397
5/16/2022,1216.TW,0.090566092
8/15/2022,1216.TW,0.016932901
11/15/2022,1216.TW,0.14470009
4/1/2023,1216.TW,0.140553091
5/16/2023,1216.TW,0.028409744
8/15/2023,1216.TW,-0.054951027
11/15/2023,1216.TW,0.114335219
4/1/2024,1216.TW,0.092416485
5/16/2024,1216.TW,
5/16/2013,1326.TW,0.032547453
8/15/2013,1326.TW,0.088510787
11/15/2013,1326.TW,-0.102417756
4/1/2014,1326.TW,-0.128222024
5/16/2014,1326.TW,0.113176254
8/15/2014,1326.TW,-0.083033004
11/15/2014,1326.TW,0.060459824
4/1/2015,1326.TW,0.211500596
5/16/2015,1326.TW,-0.095009258
8/15/2015,1326.TW,0.029019136
11/15/2015,1326.TW,0.108666165
4/1/2016,1326.TW,0.028422407
5/16/2016,1326.TW,0.126159002
8/15/2016,1326.TW,0.146933793
11/15/2016,1326.TW,0.005643079
4/1/2017,1326.TW,-0.122726875
5/16/2017,1326.TW,0.146365159
8/15/2017,1326.TW,0.078422878
11/15/2017,1326.TW,0.109350713
4/1/2018,1326.TW,0.131982639
5/16/2018,1326.TW,0.099790728
8/15/2018,1326.TW,-0.080644471
11/15/2018,1326.TW,0.044428158
4/1/2019,1326.TW,-0.142415803
5/16/2019,1326.TW,-0.28087933
8/15/2019,1326.TW,0.049174673
11/15/2019,1326.TW,-0.138732527
4/1/2020,1326.TW,0.169097222
5/16/2020,1326.TW,0.073565189
8/15/2020,1326.TW,0.081447681
11/15/2020,1326.TW,0.099223516
4/1/2021,1326.TW,-0.076331076
5/16/2021,1326.TW,0.067562364
8/15/2021,1326.TW,0.009027501
11/15/2021,1326.TW,-0.037578387
4/1/2022,1326.TW,-0.07974025
5/16/2022,1326.TW,-0.039671389
8/15/2022,1326.TW,0.074792503
11/15/2022,1326.TW,-0.077995877
4/1/2023,1326.TW,-0.079122982
5/16/2023,1326.TW,-0.094804677
8/15/2023,1326.TW,-0.017985902
11/15/2023,1326.TW,-0.140321945
4/1/2024,1326.TW,0.019542301
5/16/2024,1326.TW,
5/16/2013,3045.TW,-0.008537729
8/15/2013,3045.TW,-0.086452052
11/15/2013,3045.TW,-0.002518395
4/1/2014,3045.TW,0.070465892
5/16/2014,3045.TW,0.068775674
8/15/2014,3045.TW,0.063188008
11/15/2014,3045.TW,0.111257313
4/1/2015,3045.TW,-0.056928007
5/16/2015,3045.TW,0.02025127
8/15/2015,3045.TW,-0.00995055
11/15/2015,3045.TW,0.058410828
4/1/2016,3045.TW,0.238574477
5/16/2016,3045.TW,0.16151989
8/15/2016,3045.TW,-0.171262044
11/15/2016,3045.TW,0.096458577
4/1/2017,3045.TW,0.036756991
5/16/2017,3045.TW,-0.03263796
8/15/2017,3045.TW,-0.010821423
11/15/2017,3045.TW,0.039958608
4/1/2018,3045.TW,-0.148608047
5/16/2018,3045.TW,0.134299356
8/15/2018,3045.TW,0.13946078
11/15/2018,3045.TW,0.020376554
4/1/2019,3045.TW,0.206782148
5/16/2019,3045.TW,0.034739565
8/15/2019,3045.TW,0.133966702
11/15/2019,3045.TW,-0.16568389
4/1/2020,3045.TW,0.333751379
5/16/2020,3045.TW,0.003370419
8/15/2020,3045.TW,-0.114252306
11/15/2020,3045.TW,-0.01875012
4/1/2021,3045.TW,0.068181283
5/16/2021,3045.TW,0.145010036
8/15/2021,3045.TW,-0.020363844
11/15/2021,3045.TW,0.086473235
4/1/2022,3045.TW,0.044381507
5/16/2022,3045.TW,-0.008561307
8/15/2022,3045.TW,-0.129461732
11/15/2022,3045.TW,0.099333859
4/1/2023,3045.TW,0.111400463
5/16/2023,3045.TW,-0.157547407
8/15/2023,3045.TW,0.111041975
11/15/2023,3045.TW,0.111178781
4/1/2024,3045.TW,0.040817969
5/16/2024,3045.TW,
5/16/2013,5871.TW,-0.061450348
8/15/2013,5871.TW,0.138413385
11/15/2013,5871.TW,0.017715227
4/1/2014,5871.TW,0.032758768
5/16/2014,5871.TW,0.242810001
8/15/2014,5871.TW,-0.056606672
11/15/2014,5871.TW,0.071676916
4/1/2015,5871.TW,0.011070875
5/16/2015,5871.TW,-0.184339976
8/15/2015,5871.TW,0.006957564
11/15/2015,5871.TW,0.006278208
4/1/2016,5871.TW,-0.281328928
5/16/2016,5871.TW,0.19733412
8/15/2016,5871.TW,-0.036917098
11/15/2016,5871.TW,0.303044624
4/1/2017,5871.TW,0.180943558
5/16/2017,5871.TW,0.075359761
8/15/2017,5871.TW,0.019167823
11/15/2017,5871.TW,0.113922689
4/1/2018,5871.TW,0.155542328
5/16/2018,5871.TW,0.007982392
8/15/2018,5871.TW,-0.032507748
11/15/2018,5871.TW,0.205655539
4/1/2019,5871.TW,-0.085739216
5/16/2019,5871.TW,0.12968729
8/15/2019,5871.TW,0.144592986
